id,label,keyframes
signer0_sample1,41,"[32, 39, 43]"
signer0_sample2,104,"[23, 37, 41, 45]"
signer0_sample3,205,"[21, 33]"
signer0_sample4,26,[30]
signer0_sample5,191,"[36, 40, 44, 48, 52, 56, 60, 65, 69]"
signer0_sample6,140,[30]
signer0_sample7,139,"[21, 25, 29, 33, 39]"
signer0_sample8,225,"[20, 25, 31]"
signer0_sample9,102,"[38, 42, 46, 50]"
signer0_sample10,19,"[18, 23, 28, 33, 49, 53]"
signer0_sample11,160,"[21, 25]"
signer0_sample12,143,"[14, 22, 26, 30, 34]"
signer0_sample13,215,"[39, 43]"
signer0_sample14,130,"[14, 22, 32, 44]"
signer0_sample15,166,"[19, 25]"
signer0_sample16,5,"[29, 34, 38, 45]"
signer0_sample17,28,"[22, 35, 41]"
signer0_sample18,162,"[21, 25]"
signer0_sample19,202,"[35, 39]"
signer0_sample20,76,"[20, 24, 29, 35]"
signer0_sample21,66,"[7, 14, 22, 29]"
signer0_sample22,147,"[17, 30]"
signer0_sample23,183,"[20, 24, 34]"
signer0_sample24,201,"[40, 45, 50, 59]"
signer0_sample25,1,"[21, 27]"
signer0_sample26,145,"[26, 32, 36, 40]"
signer0_sample27,127,"[8, 18, 22]"
signer0_sample28,177,"[19, 28, 32]"
signer0_sample29,5,"[25, 29, 33, 42]"
signer0_sample30,8,"[28, 32, 37]"
signer0_sample31,205,[19]
signer0_sample32,150,"[19, 26, 31, 35]"
signer0_sample33,53,"[23, 27, 31]"
signer0_sample34,116,"[19, 24, 28]"
signer0_sample35,71,"[19, 23, 28, 32, 36]"
signer0_sample36,224,"[25, 32]"
signer0_sample37,118,"[26, 30, 52, 58, 63, 67, 71, 77]"
signer0_sample38,97,"[19, 39]"
signer0_sample39,63,"[23, 27, 31]"
signer0_sample40,59,"[28, 39, 43]"
signer0_sample41,47,"[27, 31, 35, 39, 43, 48, 67, 71, 80]"
signer0_sample42,134,"[19, 26]"
signer0_sample43,89,"[18, 24, 28]"
signer0_sample44,154,"[20, 26, 30, 34]"
signer0_sample45,106,"[24, 29]"
signer0_sample46,2,"[18, 25, 36, 47, 58]"
signer0_sample47,73,"[6, 23]"
signer0_sample48,122,"[18, 22, 29, 44, 49]"
signer0_sample49,173,"[19, 25, 30, 34]"
signer0_sample50,139,"[17, 22, 26]"
signer0_sample51,189,"[27, 39, 43, 47]"
signer0_sample52,100,"[19, 25, 29, 34, 49]"
signer0_sample53,212,"[25, 29]"
signer0_sample54,85,"[18, 30, 34, 39]"
signer0_sample55,200,"[18, 22, 27, 31, 36]"
signer0_sample56,25,"[25, 30, 36, 40, 45, 49]"
signer0_sample57,197,"[18, 23, 27, 32, 36]"
signer0_sample58,24,"[18, 22, 26, 31, 35]"
signer0_sample59,16,"[22, 26, 39]"
signer0_sample60,133,"[17, 21]"
signer0_sample61,6,"[22, 35, 47]"
signer0_sample62,49,"[16, 21, 28, 32, 37]"
signer0_sample63,170,"[23, 27, 38, 42]"
signer0_sample64,206,"[21, 31]"
signer0_sample65,115,"[51, 55]"
signer0_sample66,178,"[20, 25, 29]"
signer0_sample67,160,"[19, 23, 27]"
signer0_sample68,208,"[19, 28]"
signer0_sample69,33,"[21, 52]"
signer0_sample70,11,"[13, 26, 40, 53]"
signer0_sample71,94,"[20, 29]"
signer0_sample72,19,"[20, 26, 33, 41, 45]"
signer0_sample73,11,"[10, 20, 30, 40]"
signer0_sample74,209,"[17, 21, 25]"
signer0_sample75,146,"[22, 26]"
signer0_sample76,80,"[18, 22, 32, 41]"
signer0_sample77,56,"[20, 29]"
signer0_sample78,131,"[18, 25, 38, 43]"
signer0_sample79,75,"[20, 24, 28, 32, 36, 40, 44]"
signer0_sample80,149,[29]
signer0_sample81,144,"[23, 30]"
signer0_sample82,134,"[16, 20, 24, 39]"
signer0_sample83,3,"[20, 24, 37, 41, 55]"
signer0_sample84,222,[26]
signer0_sample85,23,"[21, 25, 29]"
signer0_sample86,213,"[20, 35]"
signer0_sample87,185,"[14, 19, 23, 27, 31, 35]"
signer0_sample88,175,"[18, 23, 27, 31, 35, 40]"
signer0_sample89,116,"[17, 21, 32]"
signer0_sample90,224,"[24, 33]"
signer0_sample91,52,"[18, 23]"
signer0_sample92,130,"[19, 24, 48]"
signer0_sample93,62,"[18, 25, 35, 41]"
signer0_sample94,13,"[20, 24, 28, 32, 36, 41, 46, 50]"
signer0_sample95,221,"[27, 31, 35]"
signer0_sample96,35,"[21, 32]"
signer0_sample97,114,"[25, 29]"
signer0_sample98,87,"[20, 28]"
signer0_sample99,163,"[24, 28, 44, 48, 57]"
signer0_sample100,8,"[25, 29, 33, 37, 41, 45]"
signer0_sample101,207,"[20, 24, 28, 32]"
signer0_sample102,144,[22]
signer0_sample103,225,"[20, 27, 31, 39]"
signer0_sample104,58,"[18, 41, 45]"
signer0_sample105,222,"[10, 20, 29, 39]"
signer0_sample106,103,"[17, 21, 26, 31, 35]"
signer0_sample107,94,"[19, 28]"
signer0_sample108,159,"[20, 24, 28, 51, 59]"
signer0_sample109,1,"[23, 30]"
signer0_sample110,152,[21]
signer0_sample111,35,[31]
signer0_sample112,181,"[24, 37]"
signer0_sample113,18,"[25, 30, 34, 38, 51, 59]"
signer0_sample114,132,[33]
signer0_sample115,204,"[17, 22, 30]"
signer0_sample116,190,"[19, 23, 27, 31]"
signer0_sample117,213,"[9, 18, 26, 35]"
signer0_sample118,141,"[27, 47, 51]"
signer0_sample119,186,"[18, 26, 30]"
signer0_sample120,214,"[24, 29, 33, 37, 41, 47, 55, 59, 63, 67]"
signer0_sample121,97,"[20, 25, 29, 33, 39, 44]"
signer0_sample122,101,[6]
signer0_sample123,27,"[16, 26, 34, 42, 46]"
signer0_sample124,119,"[19, 24, 29]"
signer0_sample125,144,[21]
signer0_sample126,217,"[19, 23, 27, 36]"
signer0_sample127,136,"[17, 21]"
signer0_sample128,50,[30]
signer0_sample129,71,"[18, 23, 28, 32]"
signer0_sample130,2,"[17, 28, 38, 48]"
signer0_sample131,161,"[10, 21, 31, 42]"
signer0_sample132,222,"[10, 20, 31, 41]"
signer0_sample133,135,"[20, 24, 28, 32, 36]"
signer0_sample134,193,"[24, 28]"
signer0_sample135,69,"[23, 27, 32, 36, 41]"
signer0_sample136,19,"[18, 23, 36, 41]"
signer0_sample137,83,"[22, 27, 50, 54]"
signer0_sample138,173,"[18, 22, 26, 30, 34]"
signer0_sample139,169,[24]
signer0_sample140,124,"[17, 24, 31, 41]"
signer0_sample141,55,"[19, 24, 36]"
signer0_sample142,171,"[19, 23, 27, 31]"
signer0_sample143,79,"[18, 23, 29]"
signer0_sample144,58,"[11, 21, 32, 42]"
signer0_sample145,98,"[19, 23, 27, 32]"
signer0_sample146,102,"[45, 49, 53]"
signer0_sample147,57,"[8, 16, 24, 32]"
signer0_sample148,107,"[27, 31]"
signer0_sample149,68,"[11, 23, 34, 46]"
signer0_sample150,38,"[22, 26, 33]"
signer0_sample151,215,"[20, 35]"
signer0_sample152,61,"[19, 23, 30]"
signer0_sample153,168,"[17, 21, 25, 29]"
signer0_sample154,190,"[18, 22, 28]"
signer0_sample155,215,"[21, 40, 44]"
signer0_sample156,217,"[20, 25, 29, 33]"
signer0_sample157,42,[16]
signer0_sample158,136,"[20, 26, 31]"
signer0_sample159,105,[22]
signer0_sample160,116,[17]
signer0_sample161,116,"[19, 30]"
signer0_sample162,47,"[25, 29, 35]"
signer0_sample163,195,"[17, 21, 25, 31, 35, 41, 46, 55, 59, 63, 67]"
signer0_sample164,46,"[27, 31]"
signer0_sample165,161,"[26, 30]"
signer0_sample166,161,[27]
signer0_sample167,178,"[20, 24]"
signer0_sample168,109,"[15, 24, 36, 40, 45, 53]"
signer0_sample169,34,"[20, 29, 33, 37, 41, 45]"
signer0_sample170,220,"[18, 32, 36, 43]"
signer0_sample171,14,"[20, 32]"
signer0_sample172,23,"[20, 28, 32, 36]"
signer0_sample173,202,"[16, 32, 36, 40]"
signer0_sample174,98,"[23, 27, 31, 36]"
signer0_sample175,207,"[18, 22, 26, 30]"
signer0_sample176,223,"[31, 35]"
signer0_sample177,50,"[38, 44]"
signer0_sample178,130,"[14, 18, 42, 47]"
signer0_sample179,157,"[22, 26, 30]"
signer0_sample180,152,"[18, 22]"
signer0_sample181,62,"[20, 24, 29, 33, 38, 42]"
signer0_sample182,115,"[43, 57]"
signer0_sample183,122,"[18, 25, 30, 35, 42]"
signer0_sample184,25,"[22, 31, 44, 52, 56, 60]"
signer0_sample185,59,"[25, 30, 34, 39, 51, 55, 59, 63]"
signer0_sample186,189,"[17, 25, 30]"
signer0_sample187,214,"[22, 26, 30, 34, 38, 44, 55, 59, 64, 69, 76]"
signer0_sample188,123,"[22, 27, 31]"
signer0_sample189,37,"[14, 19, 26, 32]"
signer0_sample190,64,[21]
signer0_sample191,191,"[33, 37, 41, 46, 50, 54, 60]"
signer0_sample192,70,[28]
signer0_sample193,9,"[23, 28, 38]"
signer0_sample194,177,"[25, 29]"
signer0_sample195,95,"[10, 19, 24, 28, 32, 36, 44]"
signer0_sample196,152,"[20, 25, 31]"
signer0_sample197,58,"[21, 25, 46, 50]"
signer0_sample198,197,"[23, 32, 36]"
signer0_sample199,215,"[20, 37, 41]"
signer0_sample200,204,"[21, 27]"
signer0_sample201,151,"[20, 24, 29, 33]"
signer0_sample202,205,"[8, 16, 25, 33]"
signer0_sample203,150,"[21, 26, 30, 34, 38]"
signer0_sample204,2,"[9, 23, 33, 41]"
signer0_sample205,219,"[24, 33, 39, 43, 47]"
signer0_sample206,191,"[37, 41, 45, 49, 53, 57, 61, 65, 69]"
signer0_sample207,11,"[10, 20, 31, 41]"
signer0_sample208,183,"[17, 21, 25, 34]"
signer0_sample209,3,"[20, 32, 42]"
signer0_sample210,84,"[19, 28]"
signer0_sample211,86,"[17, 33, 39, 43]"
signer0_sample212,98,"[22, 27, 31, 35, 39, 46, 51]"
signer0_sample213,72,"[21, 25, 29, 44, 48]"
signer0_sample214,24,"[21, 25, 29, 34, 38, 50, 60]"
signer0_sample215,53,[20]
signer0_sample216,120,"[21, 25, 29, 33]"
signer0_sample217,138,"[20, 32, 36, 44, 49, 56]"
signer0_sample218,219,"[23, 29, 33, 38]"
signer0_sample219,42,[19]
signer0_sample220,89,"[18, 22, 26]"
signer0_sample221,218,"[20, 29, 61, 69]"
signer0_sample222,162,"[19, 23, 27]"
signer0_sample223,134,"[19, 23]"
signer0_sample224,117,[28]
signer0_sample225,199,"[21, 25, 29, 34]"
signer0_sample226,67,"[23, 27, 43]"
signer0_sample227,164,"[18, 22, 26]"
signer0_sample228,142,"[13, 26, 39, 52]"
signer0_sample229,115,"[39, 64, 71]"
signer0_sample230,113,[26]
signer0_sample231,3,"[21, 25, 36, 40, 47]"
signer0_sample232,87,"[19, 27]"
signer0_sample233,192,"[29, 33, 39]"
signer0_sample234,113,[28]
signer0_sample235,57,"[17, 26]"
signer0_sample236,5,"[22, 28, 32, 36, 44]"
signer0_sample237,149,"[11, 22, 33, 44]"
signer0_sample238,211,"[21, 25, 30]"
